trip_time,avg_speed,max_speed,stops_count,acceleration_variation,route_distance,trip_number,time_of_day,weight
151.62,37.0,46.09,9,1.565,51.933,20,2,27.6
60.51,43.28,58.62,3,1.139,27.823,170,22,20.64
80.96,45.41,57.97,2,0.873,38.052,144,12,20.8
24.27,51.15,60.36,3,0.763,13.751,97,23,17.32
63.91,50.68,66.94,3,0.985,33.642,95,9,21.4
50.02,49.4,62.7,0,0.445,28.335,189,19,17.54
54.78,52.21,69.04,4,1.159,31.413,19,7,16.25
23.46,57.98,69.19,4,0.945,15.99,153,10,13.66
134.37,39.2,47.02,5,1.226,51.11,45,8,25.48
15.15,55.95,68.3,1,0.859,10.618,21,13,12.91
119.6,40.68,52.96,5,1.235,46.732,116,5,23.07
201.21,31.27,45.33,9,1.765,55.122,214,12,30.48
28.27,43.1,57.95,9,1.562,11.976,162,20,22.34
58.14,48.65,56.28,8,1.24,28.835,167,3,17.18
71.31,47.46,60.44,3,0.927,36.625,158,19,20.97
173.62,35.72,43.49,6,1.455,57.554,173,20,28.01
160.68,36.63,49.05,12,1.826,51.067,113,0,28.79
57.29,45.76,53.16,7,1.222,27.833,29,16,19.09
136.05,38.55,51.31,1,0.801,56.348,184,11,24.28
40.39,51.04,67.05,4,0.841,23.56,99,15,16.29
38.99,53.58,63.36,1,0.721,24.01,110,7,16.89
52.21,50.84,60.45,3,0.627,32.572,82,5,13.99
101.96,46.36,63.49,4,1.139,46.648,40,6,22.67
29.0,51.63,62.94,2,0.665,16.397,203,3,16.98
95.03,45.16,56.56,7,1.479,44.737,172,9,21.77
10.19,56.29,66.42,3,0.814,6.639,142,20,13.72
37.55,49.52,65.58,6,1.107,20.018,89,18,16.36
204.13,33.1,46.26,12,1.575,56.685,181,4,27.77
74.09,48.8,57.74,1,0.848,40.308,120,13,17.29
64.03,43.35,57.28,2,0.815,30.322,98,1,21.14
124.7,35.27,47.39,5,1.228,44.186,99,1,23.04
46.7,51.94,65.42,1,0.699,28.916,50,15,17.31
16.38,58.12,65.22,1,0.583,11.994,21,7,12.16
70.47,46.09,54.34,5,1.147,32.125,122,16,24.44
142.06,41.97,53.13,3,1.058,55.703,195,3,30.13
28.89,58.0,67.04,0,0.593,20.539,14,2,14.38
19.4,48.49,59.32,8,1.473,9.223,188,17,21.8
137.6,36.88,49.18,7,1.51,44.679,182,4,30.56
71.71,41.93,57.75,8,1.433,29.902,61,1,20.46
40.23,55.3,67.03,6,1.108,23.737,139,18,15.89
53.17,50.16,60.26,2,1.12,31.608,37,16,15.31
151.04,38.26,56.05,7,1.389,54.395,167,22,26.67
36.37,47.78,63.23,3,0.896,19.388,154,14,17.26
24.91,57.44,65.33,1,0.944,16.827,78,11,14.58
61.18,51.17,62.71,6,1.12,33.996,15,16,19.43
48.91,52.73,64.57,2,0.849,30.36,213,19,15.77
25.56,51.27,69.15,3,0.998,14.215,98,15,17.22
96.59,40.71,57.8,8,1.419,36.404,196,7,28.01
110.34,35.43,44.05,9,1.64,36.086,149,21,25.8
82.09,44.22,56.02,4,1.102,37.68,171,16,20.68
57.79,45.55,56.03,8,1.286,27.798,167,21,21.19
33.71,53.92,68.22,2,0.798,21.438,43,13,12.17
36.98,53.98,63.1,2,0.761,23.409,80,10,14.5
125.51,37.94,46.59,0,1.015,49.469,103,20,24.92
81.7,41.46,53.22,1,0.859,38.692,110,14,21.91
49.93,49.06,63.1,2,0.618,26.998,10,18,18.14
96.9,39.65,53.35,4,1.048,38.083,120,21,24.36
42.73,51.16,61.76,4,1.051,24.505,34,6,15.1
155.52,35.96,49.7,7,1.406,50.926,163,4,28.64
106.07,42.19,50.09,6,1.717,43.973,150,3,23.15
18.51,54.96,66.55,2,0.758,11.699,203,14,13.7
15.93,53.97,63.17,7,1.121,9.393,164,19,16.77
12.66,55.05,71.12,5,1.122,8.221,81,23,14.62
16.89,46.51,56.4,7,1.227,7.918,212,0,21.03
81.1,40.51,56.19,8,1.559,32.091,90,0,23.4
23.37,54.64,71.47,2,0.718,15.813,72,16,11.53
109.1,41.05,54.98,6,1.256,41.238,199,6,26.47
59.19,50.88,66.66,5,1.024,31.362,82,11,17.89
16.39,58.25,74.9,2,0.716,11.314,17,1,12.47
10.0,60.27,77.87,3,0.825,6.8,103,1,14.23
12.89,52.76,68.97,2,0.656,8.391,175,12,13.43
